Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/me,50,0,250.0,246.72790897922823,75.2255370025523,499.020033996203,229.0,0.8434049850928015,0.0,260,310,330,340,370,380,500,500,500,500,500
GET,artifacts,489,0,290.0,322.8937606196893,44.06904400093481,1661.6352179989917,2462.0,8.248500754207598,0.0,290,350,380,420,490,570,800,950,1700,1700,1700
GET,chat-rooms,50,0,330.0,296.5873757391819,80.62886200787034,713.0335939873476,2.0,0.8434049850928015,0.0,330,370,380,400,490,560,710,710,710,710,710
POST,login,50,0,150.0,177.18272234225878,24.12096101033967,510.66813999204896,149.0,0.8434049850928015,0.0,170,200,230,290,330,350,510,510,510,510,510
GET,login-users,50,0,250.0,224.042834599677,25.90872898872476,375.68941499921493,792.0,0.8434049850928015,0.0,250,290,310,340,340,360,380,380,380,380,380
GET,notifications,1004,0,300.0,327.9922262840285,43.139681991306134,1436.578515000292,22636.0,16.935572100663453,0.0,300,350,390,420,490,590,750,890,1400,1400,1400
GET,project-detail,520,0,290.0,325.4707394710959,51.24933300248813,1695.0703530019382,203.0,8.771411844965135,0.0,290,350,390,420,500,620,790,890,1700,1700,1700
GET,projects,1480,0,300.0,329.4317435702003,22.92591900913976,1593.7475809914758,3702.0,24.964787558746924,0.0,300,350,390,420,510,620,810,960,1500,1600,1600
GET,reviews,499,0,280.0,323.090070180461,63.84121999144554,1558.698582011857,31.0,8.417181751226158,0.0,280,350,400,420,500,560,790,1300,1600,1600,1600
,Aggregated,4192,0,290.0,322.6269075009846,22.92591900913976,1695.0703530019382,7058.456822519084,70.71107395018048,0.0,290,350,390,410,490,600,790,950,1500,1700,1700
