Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/me,50,0,180.0,208.3408980607055,65.80211900291033,491.25505999836605,164.0,2.611131611428676,0.0,190,240,290,320,360,390,490,490,490,490,490
GET,artifacts,98,0,380.0,417.88502005050645,93.94539598724805,1816.4394699997501,334.0,5.117817958400205,0.0,390,430,470,510,610,710,1000,1800,1800,1800,1800
GET,chat-list,109,0,430.0,510.56636700891556,46.140372010995634,1503.597778006224,14130.577981651377,5.692266912914514,0.0,430,530,610,660,810,950,1500,1500,1500,1500,1500
POST,chat-post,109,0,590.0,634.5517508539535,83.46093399450183,2173.5435980081093,362.0,5.692266912914514,0.0,590,640,670,720,840,1300,1800,1800,2200,2200,2200
GET,chat-rooms,50,0,280.0,312.0456709602149,70.99123300577048,1066.2723220011685,173.0,2.611131611428676,0.0,290,330,390,430,500,570,1100,1100,1100,1100,1100
POST,login,50,0,220.0,210.9257943800185,35.53682198980823,435.8703850011807,149.0,2.611131611428676,0.0,230,280,290,310,320,370,440,440,440,440,440
GET,login-users,50,0,200.0,208.16439711983548,38.65275499993004,528.2677829964086,792.0,2.611131611428676,0.0,210,260,290,310,340,360,530,530,530,530,530
GET,notifications,193,0,410.0,500.456701932171,22.83514098962769,1926.4073430094868,18675.911917098445,10.07896802011469,0.0,410,480,520,600,830,1500,1600,1600,1900,1900,1900
GET,project-detail,93,0,420.0,468.1029754410115,22.39315900078509,1776.5495689964155,229.0,4.856704797257338,0.0,420,480,510,550,630,950,1600,1800,1800,1800,1800
GET,projects,335,0,380.0,436.9040653073062,10.546263001742773,1868.5039929987397,460.0,17.49458179657213,0.0,380,440,500,520,660,1000,1500,1600,1900,1900,1900
GET,reviews,114,0,370.0,419.85112541263794,70.79512700147461,1895.900364004774,31.0,5.953380074057382,0.0,370,420,460,510,640,870,1400,1700,1900,1900,1900
,Aggregated,1251,0,380.0,437.3237851334552,10.546263001742773,2173.5435980081093,4364.272581934452,65.33051291794548,0.0,380,450,510,550,670,950,1500,1700,1900,2200,2200
