Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785751128,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785751129,10,,Aggregated,0.000000,0.000000,100,130,150,160,180,240,240,290,290,290,290,64,0,98,111.87831696861394,10.546263001742773,287.665947995265,396.515625
1785751130,20,,Aggregated,0.000000,0.000000,140,170,210,240,280,300,340,370,440,440,440,127,0,140.0,151.6250185352222,10.546263001742773,440.8106799965026,578.8740157480315
1785751131,30,,Aggregated,27.000000,0.000000,170,240,280,290,330,400,490,520,640,640,640,208,0,170.0,196.71647713445194,10.546263001742773,638.5777100076666,665.6105769230769
1785751132,40,,Aggregated,44.000000,0.000000,220,280,290,310,370,430,520,550,640,640,640,291,0,220.0,225.9565235907792,10.546263001742773,638.5777100076666,855.2268041237113
1785751133,50,,Aggregated,47.666667,0.000000,260,310,330,350,410,490,540,570,640,640,640,394,0,260.0,256.52874956050175,10.546263001742773,638.5777100076666,1028.1573604060914
1785751134,50,,Aggregated,55.500000,0.000000,280,320,350,380,450,530,600,700,830,830,830,457,0,280.0,277.56317650962467,10.546263001742773,834.7556439985055,1160.2450765864332
1785751135,50,,Aggregated,62.200000,0.000000,290,340,380,410,500,570,700,810,1100,1100,1100,535,0,290.0,299.88664230263777,10.546263001742773,1066.2723220011685,1808.332710280374
1785751136,50,,Aggregated,68.000000,0.000000,300,360,390,420,500,570,690,760,1100,1100,1100,609,0,300.0,311.8811988159515,10.546263001742773,1066.2723220011685,2288.088669950739
1785751137,50,,Aggregated,69.000000,0.000000,310,370,400,430,510,570,670,760,1100,1100,1100,680,0,310.0,318.64240032187166,10.546263001742773,1066.2723220011685,2764.3088235294117
1785751138,50,,Aggregated,68.750000,0.000000,320,380,420,450,530,610,710,810,1100,1100,1100,749,0,320.0,331.97969006524386,10.546263001742773,1066.2723220011685,2944.3978638184244
1785751139,50,,Aggregated,69.222222,0.000000,330,390,430,460,540,630,720,810,1100,1100,1100,816,0,330.0,342.58174389929883,10.546263001742773,1066.2723220011685,3083.530637254902
1785751140,50,,Aggregated,69.500000,0.000000,340,400,440,480,550,640,720,820,1100,1100,1100,872,0,340.0,350.6367204768515,10.546263001742773,1066.2723220011685,3384.669724770642
1785751141,50,,Aggregated,73.300000,0.000000,340,410,450,490,580,670,810,890,1100,1100,1100,902,0,340.0,361.1972639177305,10.546263001742773,1066.2723220011685,3529.3835920177385
1785751142,50,,Aggregated,74.400000,0.000000,350,420,470,500,630,790,1100,1400,1600,1600,1600,926,0,350.0,385.70177742637355,10.546263001742773,1609.598889001063,3695.0345572354213
1785751143,50,,Aggregated,73.900000,0.000000,360,430,500,530,710,1100,1600,1700,2200,2200,2200,984,0,360.0,428.56862353543943,10.546263001742773,2173.5435980081093,3875.660569105691
