Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/me,50,0,190.0,273.2497509990935,73.57577000220772,886.7614140035585,229.0,0.8509912410293936,0.0,190,220,290,390,640,840,890,890,890,890,890
GET,artifacts,415,0,360.0,426.1219301735085,29.724060994340107,1470.6983340001898,2462.0,7.063227300543967,0.0,360,470,560,640,800,980,1200,1200,1500,1500,1500
GET,chat-rooms,50,0,270.0,304.9000135215465,87.94973298790865,730.120831009117,2.0,0.8509912410293936,0.0,290,330,370,440,570,580,730,730,730,730,730
POST,login,50,0,160.0,181.4586578597664,74.87237799796276,474.2110869992757,149.0,0.8509912410293936,0.0,160,210,220,240,280,360,470,470,470,470,470
GET,login-users,50,0,330.0,340.130376679881,55.15609399299137,723.5981429985259,792.0,0.8509912410293936,0.0,330,390,420,590,660,680,720,720,720,720,720
GET,notifications,882,0,380.0,459.97256135264513,23.594995989697054,2057.0085030049086,22636.0,15.011485491758505,0.0,380,500,590,660,860,1100,1400,1700,2100,2100,2100
GET,project-detail,442,0,320.0,390.9111069122907,23.260358997504227,1635.8978570060572,203.0,7.52276257069984,0.0,320,430,520,570,770,950,1200,1200,1600,1600,1600
GET,projects,1301,0,340.0,409.2424871669852,13.29120599257294,2013.9998579979874,3702.0,22.142792091584823,0.0,340,440,510,590,800,990,1200,1500,2000,2000,2000
GET,reviews,410,0,360.0,432.53845843914524,23.31951798987575,1876.147458999185,31.0,6.978128176441028,0.0,360,480,580,640,870,1000,1200,1300,1900,1900,1900
,Aggregated,3650,0,340.0,416.4578885226259,13.29120599257294,2057.0085030049086,7113.4301369863015,62.122360595145736,0.0,340,450,540,600,800,1000,1200,1400,2000,2100,2100
