Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785762182,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785762183,10,,Aggregated,0.000000,0.000000,130,190,650,650,660,690,720,720,720,720,720,32,0,130.0,280.8868626862022,73.57577000220772,723.5981429985259,597.0
1785762184,20,,Aggregated,0.000000,0.000000,170,220,270,310,430,660,680,690,720,720,720,105,0,170.0,225.67356660022466,30.401677009649575,723.5981429985259,2127.447619047619
1785762185,30,,Aggregated,16.000000,0.000000,170,210,250,280,380,630,660,690,720,720,720,192,0,170.0,215.42607281829382,30.401677009649575,723.5981429985259,2624.4739583333335
1785762186,40,,Aggregated,47.000000,0.000000,190,230,280,300,450,590,660,690,720,720,720,252,0,180.0,227.9006259767422,30.401677009649575,723.5981429985259,2802.313492063492
1785762187,50,,Aggregated,60.666667,0.000000,220,310,380,460,630,870,1000,1100,1300,1300,1300,330,0,220.0,305.6634952549675,30.401677009649575,1280.8839950012043,3347.3515151515153
1785762188,50,,Aggregated,61.250000,0.000000,270,370,440,490,660,880,1000,1100,1300,1300,1300,403,0,270.0,337.42465749168485,30.401677009649575,1280.8839950012043,3521.843672456576
1785762189,50,,Aggregated,63.600000,0.000000,280,370,440,480,640,840,980,1100,1300,1300,1300,467,0,280.0,338.7129121801601,30.401677009649575,1280.8839950012043,4183.44539614561
1785762190,50,,Aggregated,63.333333,0.000000,270,360,430,470,640,830,980,1100,1300,1300,1300,557,0,270.0,326.2165709373554,13.29120599257294,1280.8839950012043,4928.820466786356
1785762191,50,,Aggregated,64.714286,0.000000,280,370,440,480,630,830,980,1100,1300,1300,1300,597,0,280.0,332.7379280354325,13.29120599257294,1280.8839950012043,4973.202680067002
1785762192,50,,Aggregated,68.000000,0.000000,300,400,470,520,690,940,1100,1600,2000,2000,2000,653,0,300.0,368.3983396372318,13.29120599257294,2013.9998579979874,5198.470137825421
1785762193,50,,Aggregated,65.000000,0.000000,300,390,470,510,680,940,1100,1700,2100,2100,2100,720,0,300.0,366.2684638820388,13.29120599257294,2057.0085030049086,5392.429166666667
1785762194,50,,Aggregated,63.400000,0.000000,290,380,460,500,660,880,1100,1700,2100,2100,2100,788,0,290.0,358.960227761521,13.29120599257294,2057.0085030049086,5474.673857868021
1785762195,50,,Aggregated,68.800000,0.000000,290,380,450,500,680,890,1100,1600,2100,2100,2100,855,0,290.0,359.1594545475149,13.29120599257294,2057.0085030049086,5859.138011695906
1785762196,50,,Aggregated,67.300000,0.000000,300,390,470,510,700,940,1100,1500,2100,2100,2100,913,0,300.0,367.0497114601899,13.29120599257294,2057.0085030049086,6005.00547645126
1785762197,50,,Aggregated,66.400000,0.000000,300,390,470,520,730,970,1200,1600,2100,2100,2100,961,0,300.0,378.2738383393644,13.29120599257294,2057.0085030049086,6126.983350676379
1785762198,50,,Aggregated,65.100000,0.000000,320,410,490,550,770,980,1200,1500,2000,2100,2100,1031,0,320.0,389.95146931247695,13.29120599257294,2057.0085030049086,6335.595538312318
1785762199,50,,Aggregated,62.800000,0.000000,320,400,480,530,730,970,1200,1400,2000,2100,2100,1104,0,320.0,384.9040686315108,13.29120599257294,2057.0085030049086,6479.910326086957
1785762200,50,,Aggregated,62.300000,0.000000,310,390,470,530,730,970,1200,1400,2000,2100,2100,1181,0,310.0,382.02469603742435,13.29120599257294,2057.0085030049086,6557.469940728197
1785762201,50,,Aggregated,62.100000,0.000000,310,390,470,520,730,970,1200,1400,2000,2100,2100,1244,0,310.0,378.06329673327957,13.29120599257294,2057.0085030049086,6477.354501607717
1785762202,50,,Aggregated,59.500000,0.000000,310,390,470,530,760,980,1200,1400,2000,2100,2100,1294,0,310.0,382.72080476596136,13.29120599257294,2057.0085030049086,6573.17542503864
1785762203,50,,Aggregated,63.100000,0.000000,330,420,500,560,800,1000,1200,1400,2000,2100,2100,1349,0,330.0,395.6692794796777,13.29120599257294,2057.0085030049086,6616.882134914752
1785762204,50,,Aggregated,64.200000,0.000000,330,420,500,570,800,1000,1200,1400,2000,2100,2100,1408,0,330.0,401.0905942117233,13.29120599257294,2057.0085030049086,6624.500710227273
1785762205,50,,Aggregated,61.500000,0.000000,330,420,500,560,770,1000,1200,1400,2000,2100,2100,1468,0,330.0,395.44119043539195,13.29120599257294,2057.0085030049086,6610.190054495913
1785762206,50,,Aggregated,61.300000,0.000000,330,420,500,570,790,1000,1200,1400,2000,2100,2100,1545,0,330.0,397.1238643865415,13.29120599257294,2057.0085030049086,6734.7003236245955
1785762207,50,,Aggregated,59.500000,0.000000,330,420,500,560,770,990,1200,1400,2000,2100,2100,1612,0,330.0,395.0235544300094,13.29120599257294,2057.0085030049086,6799.443548387097
1785762208,50,,Aggregated,61.300000,0.000000,330,420,500,560,770,980,1200,1400,2000,2100,2100,1667,0,330.0,395.9995685418315,13.29120599257294,2057.0085030049086,6807.3131373725255
1785762209,50,,Aggregated,62.900000,0.000000,330,420,500,560,770,980,1200,1300,2000,2100,2100,1737,0,330.0,398.12872291726194,13.29120599257294,2057.0085030049086,6779.991364421417
1785762210,50,,Aggregated,63.600000,0.000000,340,430,510,570,770,970,1200,1300,2000,2100,2100,1797,0,340.0,402.334703450887,13.29120599257294,2057.0085030049086,6824.680022259321
1785762211,50,,Aggregated,61.700000,0.000000,330,430,510,560,760,970,1200,1300,2000,2100,2100,1856,0,330.0,398.3239425292438,13.29120599257294,2057.0085030049086,6864.162715517241
1785762212,50,,Aggregated,61.900000,0.000000,330,430,500,560,770,960,1200,1300,2000,2100,2100,1943,0,330.0,395.8107433722516,13.29120599257294,2057.0085030049086,6886.97066392177
1785762213,50,,Aggregated,61.500000,0.000000,330,420,500,560,770,950,1200,1300,2000,2100,2100,1996,0,330.0,394.0368572571507,13.29120599257294,2057.0085030049086,6884.018537074148
1785762214,50,,Aggregated,61.300000,0.000000,330,430,510,580,780,970,1200,1300,2000,2100,2100,2039,0,330.0,399.8373443238208,13.29120599257294,2057.0085030049086,6878.600784698381
1785762215,50,,Aggregated,65.200000,0.000000,340,440,520,590,810,980,1200,1300,2000,2100,2100,2096,0,340.0,407.34881509221316,13.29120599257294,2057.0085030049086,6851.727099236641
1785762216,50,,Aggregated,63.600000,0.000000,330,430,520,590,810,990,1200,1400,2000,2100,2100,2174,0,330.0,405.5008331514859,13.29120599257294,2057.0085030049086,6848.6416743330265
1785762217,50,,Aggregated,61.700000,0.000000,330,430,510,580,800,990,1200,1300,2000,2100,2100,2231,0,330.0,402.1187374833541,13.29120599257294,2057.0085030049086,6828.830569251457
1785762218,50,,Aggregated,61.400000,0.000000,330,430,510,580,790,980,1200,1300,2000,2100,2100,2294,0,330.0,402.9051127717438,13.29120599257294,2057.0085030049086,6807.40802092415
1785762219,50,,Aggregated,62.500000,0.000000,330,440,510,580,780,980,1200,1300,2000,2100,2100,2361,0,330.0,403.4293827422148,13.29120599257294,2057.0085030049086,6769.186785260483
1785762220,50,,Aggregated,62.300000,0.000000,330,440,520,590,780,980,1200,1300,2000,2100,2100,2413,0,330.0,405.37678158988666,13.29120599257294,2057.0085030049086,6812.781599668462
1785762221,50,,Aggregated,62.500000,0.000000,330,440,520,590,780,970,1200,1300,2000,2100,2100,2480,0,330.0,405.096215296145,13.29120599257294,2057.0085030049086,6830.548387096775
1785762222,50,,Aggregated,61.400000,0.000000,330,440,520,590,780,970,1200,1300,2000,2100,2100,2539,0,330.0,404.9458859749592,13.29120599257294,2057.0085030049086,6826.075226467113
1785762223,50,,Aggregated,60.400000,0.000000,330,440,520,590,780,960,1200,1300,2000,2100,2100,2610,0,330.0,404.9965159415517,13.29120599257294,2057.0085030049086,6872.180842911877
1785762224,50,,Aggregated,60.900000,0.000000,330,440,510,580,770,950,1200,1300,2000,2100,2100,2663,0,330.0,402.8129012021972,13.29120599257294,2057.0085030049086,6891.196395043185
1785762225,50,,Aggregated,59.100000,0.000000,330,440,520,590,780,970,1200,1300,2000,2100,2100,2734,0,330.0,406.8613593615158,13.29120599257294,2057.0085030049086,6911.711411850768
1785762226,50,,Aggregated,62.700000,0.000000,340,440,530,600,780,970,1200,1300,2000,2100,2100,2776,0,340.0,409.5294011154429,13.29120599257294,2057.0085030049086,6894.405979827089
1785762227,50,,Aggregated,62.400000,0.000000,340,440,530,600,790,990,1200,1300,2000,2100,2100,2838,0,340.0,410.0121763479512,13.29120599257294,2057.0085030049086,6921.654686398872
1785762228,50,,Aggregated,61.900000,0.000000,340,440,530,600,800,990,1200,1300,2000,2100,2100,2912,0,340.0,410.9842585825851,13.29120599257294,2057.0085030049086,6954.136332417583
1785762229,50,,Aggregated,59.300000,0.000000,330,440,520,590,790,990,1200,1300,2000,2100,2100,2965,0,330.0,408.44654402073587,13.29120599257294,2057.0085030049086,6982.396627318718
1785762230,50,,Aggregated,58.300000,0.000000,340,440,530,600,800,990,1200,1300,2000,2100,2100,3020,0,340.0,409.9112212164035,13.29120599257294,2057.0085030049086,7011.079801324503
1785762231,50,,Aggregated,61.900000,0.000000,340,440,520,590,800,1000,1200,1500,2000,2100,2100,3092,0,340.0,412.2272399419485,13.29120599257294,2057.0085030049086,7049.148447606727
1785762232,50,,Aggregated,60.200000,0.000000,330,440,520,590,800,990,1200,1400,2000,2100,2100,3169,0,330.0,409.6713517757909,13.29120599257294,2057.0085030049086,7023.7936257494475
1785762233,50,,Aggregated,59.400000,0.000000,330,440,520,590,800,990,1200,1400,2000,2100,2100,3233,0,330.0,409.06023507191014,13.29120599257294,2057.0085030049086,7042.258583359109
1785762234,50,,Aggregated,60.400000,0.000000,340,440,530,600,800,990,1200,1400,2000,2100,2100,3302,0,340.0,411.2212692584596,13.29120599257294,2057.0085030049086,7059.573288915809
1785762235,50,,Aggregated,61.300000,0.000000,340,450,530,600,800,990,1200,1400,2000,2100,2100,3356,0,340.0,412.03353507552714,13.29120599257294,2057.0085030049086,7064.233611442193
1785762236,50,,Aggregated,59.200000,0.000000,340,450,530,600,800,990,1200,1400,2000,2100,2100,3401,0,340.0,413.24448638531305,13.29120599257294,2057.0085030049086,7089.525139664805
1785762237,50,,Aggregated,62.300000,0.000000,340,450,530,600,790,980,1200,1400,2000,2100,2100,3481,0,340.0,412.4654179443892,13.29120599257294,2057.0085030049086,7090.218040792875
