Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/me,50,0,220.0,240.50150979979662,64.72282500180881,497.6825129997451,229.0,0.8431009468889202,0.0,220,250,290,370,410,480,500,500,500,500,500
GET,artifacts,469,0,310.0,394.89812804067054,16.183571991859935,3438.3989479974844,2462.0,7.908286881818072,0.0,310,360,400,430,640,950,1600,2100,3400,3400,3400
GET,chat-rooms,50,0,200.0,256.1121441179421,116.62530399917159,790.2240459952736,2.0,0.8431009468889202,0.0,210,280,300,310,460,510,790,790,790,790,790
POST,login,50,0,170.0,184.80108627991285,26.015016992460005,406.1490159947425,149.0,0.8431009468889202,0.0,180,220,250,270,300,370,410,410,410,410,410
GET,login-users,50,0,170.0,196.22924584080465,61.85162899782881,354.7776990017155,792.0,0.8431009468889202,0.0,180,250,270,280,330,330,350,350,350,350,350
GET,notifications,907,0,310.0,395.92338720179134,124.79759300185833,2925.6282360001933,22636.0,15.293851176565013,0.0,310,370,410,440,620,910,1500,2300,2900,2900,2900
GET,project-detail,466,0,300.0,384.0660530498727,114.2229629913345,2837.418996990891,203.0,7.857700825004737,0.0,300,350,390,440,580,870,1600,2100,2800,2800,2800
GET,projects,1380,0,310.0,382.66169081495417,25.95483099867124,3209.9232570035383,3702.0,23.2695861341342,0.0,310,350,390,430,600,890,1400,2000,3200,3200,3200
GET,reviews,496,0,310.0,394.3391024839941,121.73551300656982,3224.931306001963,31.0,8.36356139313809,0.0,310,370,420,440,590,970,1600,2400,3200,3200,3200
,Aggregated,3918,0,300.0,380.5084334923315,16.183571991859935,3438.3989479974844,6881.792751403777,66.0653901982158,0.0,300,350,400,430,590,890,1400,2100,3200,3400,3400
