Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785761959,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785761960,10,,Aggregated,0.000000,0.000000,120,150,160,160,180,190,230,270,270,270,270,62,0,110.0,119.94799464516672,16.183571991859935,269.22666700556874,1935.0
1785761961,20,,Aggregated,0.000000,0.000000,150,160,180,200,230,260,280,310,320,320,320,130,0,150.0,145.87284496139125,16.183571991859935,319.42320900270715,2265.1
1785761962,30,,Aggregated,51.000000,0.000000,160,200,220,230,260,290,320,320,350,350,350,207,0,160.0,170.88194259399927,16.183571991859935,349.5114539982751,2637.6521739130435
1785761963,40,,Aggregated,55.000000,0.000000,200,220,240,260,290,350,380,390,430,430,430,294,0,200.0,195.41734514629695,16.183571991859935,430.82451200461946,2689.3503401360545
1785761964,50,,Aggregated,61.666667,0.000000,220,260,290,310,380,400,430,500,610,610,610,372,0,220.0,228.13303828477592,16.183571991859935,608.2539409981109,3084.7473118279568
1785761965,50,,Aggregated,66.250000,0.000000,240,290,360,390,460,560,630,640,770,770,770,435,0,240.0,268.4813060940928,16.183571991859935,765.8355570019921,3368.2367816091955
1785761966,50,,Aggregated,70.400000,0.000000,250,320,380,400,480,570,640,720,930,930,930,523,0,250.0,285.46857143186116,16.183571991859935,930.7928449998144,4037.6328871892924
1785761967,50,,Aggregated,68.666667,0.000000,260,330,380,400,470,560,640,720,930,930,930,595,0,260.0,287.6250158012952,16.183571991859935,930.7928449998144,4502.655462184874
1785761968,50,,Aggregated,71.285714,0.000000,260,320,370,390,450,550,630,690,930,930,930,666,0,260.0,284.39829272327995,16.183571991859935,930.7928449998144,4946.980480480481
1785761969,50,,Aggregated,70.750000,0.000000,270,340,390,410,490,560,640,720,1000,1000,1000,724,0,270.0,300.1349972687949,16.183571991859935,1015.2359859930584,5114.897790055249
1785761970,50,,Aggregated,72.111111,0.000000,280,340,380,400,480,560,630,690,1000,1000,1000,803,0,280.0,300.8789192997299,16.183571991859935,1015.2359859930584,5360.115815691158
1785761971,50,,Aggregated,70.500000,0.000000,280,330,370,400,470,550,630,690,1000,1000,1000,882,0,280.0,297.86815358019095,16.183571991859935,1015.2359859930584,5575.827664399093
1785761972,50,,Aggregated,72.400000,0.000000,280,340,370,400,480,550,630,690,1000,1000,1000,951,0,280.0,300.5126403321295,16.183571991859935,1015.2359859930584,5833.694006309148
1785761973,50,,Aggregated,74.200000,0.000000,290,340,380,400,470,550,620,670,930,1000,1000,1023,0,290.0,302.6979965970922,16.183571991859935,1015.2359859930584,5853.945259042033
1785761974,50,,Aggregated,74.400000,0.000000,290,340,370,400,470,540,610,660,930,1000,1000,1106,0,290.0,301.9102495722599,16.183571991859935,1015.2359859930584,5969.167269439421
1785761975,50,,Aggregated,73.400000,0.000000,280,330,370,390,460,540,610,660,930,1000,1000,1179,0,280.0,298.5200390991693,16.183571991859935,1015.2359859930584,5928.8956743002545
1785761976,50,,Aggregated,73.300000,0.000000,280,330,370,390,460,530,610,660,930,1000,1000,1258,0,280.0,298.2053463942057,16.183571991859935,1015.2359859930584,6079.652623211447
1785761977,50,,Aggregated,75.300000,0.000000,280,330,360,390,450,530,600,640,930,1000,1000,1327,0,280.0,297.0048938062447,16.183571991859935,1015.2359859930584,6206.434815373022
1785761978,50,,Aggregated,73.500000,0.000000,280,330,360,380,450,530,590,640,930,1000,1000,1412,0,280.0,298.3372766677307,16.183571991859935,1015.2359859930584,6248.8888101983
1785761979,50,,Aggregated,74.500000,0.000000,280,330,360,380,450,510,590,640,930,1000,1000,1482,0,280.0,297.60410130831207,16.183571991859935,1015.2359859930584,6270.416329284751
1785761980,50,,Aggregated,73.600000,0.000000,290,330,360,380,450,510,590,640,930,1000,1000,1558,0,290.0,299.6581272136341,16.183571991859935,1015.2359859930584,6332.532734274711
1785761981,50,,Aggregated,75.700000,0.000000,290,330,360,380,440,500,590,640,930,1000,1000,1628,0,290.0,299.03581446243066,16.183571991859935,1015.2359859930584,6364.6142506142505
1785761982,50,,Aggregated,75.500000,0.000000,290,330,370,380,440,500,590,640,930,1000,1000,1696,0,290.0,299.0305220730748,16.183571991859935,1015.2359859930584,6332.333726415094
