Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785739154,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785739155,10,,Aggregated,0.000000,0.000000,81,100,130,140,170,190,200,200,200,200,200,54,0,80,85.51825107376014,11.775853010476567,203.5480039921822,310.98148148148147
1785739156,20,,Aggregated,0.000000,0.000000,110,170,190,200,280,300,340,350,350,350,350,120,0,110.0,130.80335478358998,11.775853010476567,352.3525990021881,297.7083333333333
1785739157,30,,Aggregated,40.000000,0.000000,160,190,240,260,310,340,370,420,420,420,420,200,0,160.0,160.81186837494897,11.775853010476567,423.22095901181456,308.515
1785739158,40,,Aggregated,45.500000,0.000000,190,250,290,300,350,400,430,510,550,550,550,276,0,190.0,194.9728294962699,11.775853010476567,545.0212419964373,309.47463768115944
1785739159,50,,Aggregated,50.666667,0.000000,220,270,300,310,350,400,430,480,550,550,550,372,0,220.0,215.59116655102585,11.775853010476567,545.0212419964373,301.10752688172045
1785739160,50,,Aggregated,59.000000,0.000000,240,280,300,310,350,390,430,480,550,550,550,449,0,240.0,225.0867217392772,11.775853010476567,545.0212419964373,294.69487750556794
1785739161,50,,Aggregated,64.600000,0.000000,250,290,310,330,380,420,490,530,610,610,610,540,0,250.0,242.17928886673351,11.775853010476567,607.2552159894258,293.44074074074075
1785739162,50,,Aggregated,70.000000,0.000000,250,280,310,320,370,420,480,520,610,610,610,633,0,250.0,245.00218275830548,11.775853010476567,607.2552159894258,287.4565560821485
1785739163,50,,Aggregated,71.000000,0.000000,250,280,300,320,360,410,480,510,610,610,610,729,0,250.0,246.77698999036178,11.775853010476567,607.2552159894258,281.1042524005487
1785739164,50,,Aggregated,73.375000,0.000000,260,290,310,330,380,420,490,530,650,650,650,804,0,260.0,255.11809155111916,11.775853010476567,654.0125220053596,278.9937810945274
1785739165,50,,Aggregated,75.888889,0.000000,260,290,310,330,380,420,510,550,650,650,650,890,0,260.0,259.624972870852,11.775853010476567,654.0125220053596,278.87865168539327
1785739166,50,,Aggregated,76.700000,0.000000,270,300,320,340,380,430,500,540,650,650,650,972,0,270.0,265.5544656636603,11.775853010476567,654.0125220053596,278.5318930041152
1785739167,50,,Aggregated,81.100000,0.000000,260,300,320,330,380,420,490,530,610,650,650,1054,0,260.0,263.3641607278877,11.775853010476567,654.0125220053596,274.7438330170778
1785739168,50,,Aggregated,83.600000,0.000000,270,300,320,340,380,420,490,530,610,650,650,1138,0,270.0,268.36199791046414,11.775853010476567,654.0125220053596,276.04657293497365
1785739169,50,,Aggregated,86.200000,0.000000,270,300,330,340,380,420,490,530,610,650,650,1227,0,270.0,269.44340462840273,11.775853010476567,654.0125220053596,274.5631621841891
